id,id_curva,indicador_codigo,sexo_codigo,edad_valor,percentil_codigo,percentil,valor
327,1,BMI,M,82,P95,95.0,18.183
328,1,BMI,M,82,P97,97.0,18.666
329,1,BMI,M,82,P99,99.0,19.662
330,1,BMI,M,82,P999,99.9,21.675
331,1,BMI,M,83,P01,0.1,12.164
332,1,BMI,M,83,P1,1.0,12.828
333,1,BMI,M,83,P3,3.0,13.253
334,1,BMI,M,83,P5,5.0,13.492
335,1,BMI,M,83,P10,10.0,13.878
336,1,BMI,M,83,P15,15.0,14.153
337,1,BMI,M,83,P25,25.0,14.582
338,1,BMI,M,83,P50,50.0,15.465
339,1,BMI,M,83,P75,75.0,16.476
340,1,BMI,M,83,P85,85.0,17.082
341,1,BMI,M,83,P90,90.0,17.521
342,1,BMI,M,83,P95,95.0,18.221
343,1,BMI,M,83,P97,97.0,18.71
344,1,BMI,M,83,P99,99.0,19.719
345,1,BMI,M,83,P999,99.9,21.764
346,1,BMI,M,84,P01,0.1,12.175
347,1,BMI,M,84,P1,1.0,12.839
348,1,BMI,M,84,P3,3.0,13.265
349,1,BMI,M,84,P5,5.0,13.504
350,1,BMI,M,84,P10,10.0,13.891
351,1,BMI,M,84,P15,15.0,14.166
352,1,BMI,M,84,P25,25.0,14.597
353,1,BMI,M,84,P50,50.0,15.483
354,1,BMI,M,84,P75,75.0,16.5
355,1,BMI,M,84,P85,85.0,17.111
356,1,BMI,M,84,P90,90.0,17.554
357,1,BMI,M,84,P95,95.0,18.261
358,1,BMI,M,84,P97,97.0,18.756
359,1,BMI,M,84,P99,99.0,19.777
360,1,BMI,M,84,P999,99.9,21.855
361,1,BMI,M,85,P01,0.1,12.186
362,1,BMI,M,85,P1,1.0,12.85
363,1,BMI,M,85,P3,3.0,13.276
364,1,BMI,M,85,P5,5.0,13.516
365,1,BMI,M,85,P10,10.0,13.904
366,1,BMI,M,85,P15,15.0,14.18
367,1,BMI,M,85,P25,25.0,14.612
368,1,BMI,M,85,P50,50.0,15.502
369,1,BMI,M,85,P75,75.0,16.525
370,1,BMI,M,85,P85,85.0,17.14
371,1,BMI,M,85,P90,90.0,17.588
372,1,BMI,M,85,P95,95.0,18.301
373,1,BMI,M,85,P97,97.0,18.801
374,1,BMI,M,85,P99,99.0,19.836
375,1,BMI,M,85,P999,99.9,21.948
376,1,BMI,M,86,P01,0.1,12.198
377,1,BMI,M,86,P1,1.0,12.861
378,1,BMI,M,86,P3,3.0,13.288
379,1,BMI,M,86,P5,5.0,13.528
380,1,BMI,M,86,P10,10.0,13.917
381,1,BMI,M,86,P15,15.0,14.194
382,1,BMI,M,86,P25,25.0,14.627
383,1,BMI,M,86,P50,50.0,15.521
384,1,BMI,M,86,P75,75.0,16.55
385,1,BMI,M,86,P85,85.0,17.17
386,1,BMI,M,86,P90,90.0,17.622
387,1,BMI,M,86,P95,95.0,18.343
388,1,BMI,M,86,P97,97.0,18.848
389,1,BMI,M,86,P99,99.0,19.896
390,1,BMI,M,86,P999,99.9,22.044
391,1,BMI,M,87,P01,0.1,12.209
392,1,BMI,M,87,P1,1.0,12.873
393,1,BMI,M,87,P3,3.0,13.301
394,1,BMI,M,87,P5,5.0,13.54
395,1,BMI,M,87,P10,10.0,13.93
396,1,BMI,M,87,P15,15.0,14.208
397,1,BMI,M,87,P25,25.0,14.643
398,1,BMI,M,87,P50,50.0,15.541
399,1,BMI,M,87,P75,75.0,16.577
400,1,BMI,M,87,P85,85.0,17.202
401,1,BMI,M,87,P90,90.0,17.657
402,1,BMI,M,87,P95,95.0,18.385
403,1,BMI,M,87,P97,97.0,18.897
404,1,BMI,M,87,P99,99.0,19.958
405,1,BMI,M,87,P999,99.9,22.142
406,1,BMI,M,88,P01,0.1,12.221
407,1,BMI,M,88,P1,1.0,12.885
408,1,BMI,M,88,P3,3.0,13.313
409,1,BMI,M,88,P5,5.0,13.553
410,1,BMI,M,88,P10,10.0,13.944
411,1,BMI,M,88,P15,15.0,14.223
412,1,BMI,M,88,P25,25.0,14.659
413,1,BMI,M,88,P50,50.0,15.561
