id_ingrediente,energia_kcal,agua_g,alcohol_g,proteinas_g,hidratos_carbono_g,almidon_g,azucares_sencillos_g,azucares_libres_g,fibra_vegetal_g,grasa_total_g,ags_g,agm_g,agp_g,colesterol_mg,vitamina_a_eq_retinol_ug,retinol_ug,carotenoides_eq_beta_caroteno_ug,vit_d_ug,vit_e_eq_alpha_tocoferol_mg,vit_k_ug,vitamina_b1_mg,vitamina_b2_mg,eq_niacina_mg,vit_b6_mg,eq_folato_dietetico_ug,vit_b12_ug,pantotenico_mg,biotina_ug,vit_c_mg,calcio_mg,fosforo_mg,hierro_mg,iodo_ug,cinc_mg,magnesio_mg,sodio_mg,potasio_mg,manganeso_mg,cobre_mg,selenio_ug,omega3_g,tipo_omega3,grasas_trans_g,polifenoles_mg,probioticos_billones_ufc
21,372.0,32.8,0.0,6.1,39.3,37.8,1.5,1.5,0.9,20.9,8.8,0.0,0.0,114.0,35.8,35.5,1.6,0.52,1.0,17.9,0.07,0.079,1.6,0.064,16.1,0.36,0.49,4.5,0.0,22.4,89.0,0.85,7.2,0.7,14.6,460.0,95.7,0.33,0.088,3.9,0.05,ALA,1.9,4.0,0.0
22,243.0,39.6,0.0,8.3,47.0,42.2,4.8,0.0,3.5,1.6,0.39,0.28,0.34,0.0,0.33,0.0,2.0,0.0,0.0,1.9,0.086,0.06,3.0,0.06,23.0,0.0,0.3,1.0,0.0,56.0,91.0,1.6,4.7,0.61,25.1,424.0,110.0,0.5,0.19,28.0,0.04,ALA,0.1,20.0,0.0
23,265.0,33.5,0.0,8.0,53.9,52.0,1.9,0.0,3.5,1.1,0.2,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.18,1.9,0.09,0.05,2.6,0.12,23.0,0.0,0.3,0.0,0.0,20.0,90.0,1.7,5.0,0.6,26.0,2.0,100.0,0.38,0.13,22.6,0.04,ALA,0.1,20.0,0.0
24,273.0,31.5,0.0,8.0,55.9,53.6,2.3,0.0,3.5,1.2,0.2,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.18,1.9,0.09,0.05,3.3,0.08,24.0,0.0,0.39,1.0,0.0,23.0,110.0,1.5,6.0,0.7,28.0,424.0,130.0,0.5,0.16,28.0,0.04,ALA,0.1,20.0,0.0
25,389.0,6.6,0.0,11.5,73.4,68.2,5.2,0.0,3.9,4.6,0.5,1.9,0.98,0.0,0.0,0.0,0.0,0.0,0.01,3.0,0.36,0.27,6.2,0.09,21.0,0.0,0.3,1.0,0.0,114.0,92.0,1.0,7.0,0.78,25.0,702.0,160.0,0.55,0.17,33.6,0.04,ALA,0.1,18.0,0.0
26,389.0,6.6,0.0,11.5,73.4,68.2,5.2,0.0,5.2,3.9,0.5,1.8,0.82,1.0,0.0,0.0,0.0,0.0,0.01,3.0,0.42,0.34,5.7,0.063,26.0,0.02,0.28,0.0,0.0,119.0,103.0,3.3,7.0,0.68,26.0,192.0,131.0,0.42,0.14,33.6,0.04,ALA,0.1,18.0,0.0
27,275.0,34.7,0.0,8.4,48.5,37.9,10.6,5.7,4.0,4.4,0.7,1.6,1.7,0.0,2.0,2.0,0.0,0.0,0.61,0.0,0.4,0.24,3.1,0.0,0.0,0.03,0.34,0.0,0.0,43.0,147.0,3.2,0.0,1.0,68.0,23.4,165.0,0.0,0.21,24.6,0.08,ALA,0.0,45.0,0.0
28,248.0,41.6,0.0,6.4,43.5,37.8,5.7,0.0,4.0,4.5,0.7,0.61,1.6,0.0,0.83,0.0,5.0,0.0,0.0,0.0,0.41,0.25,5.6,0.11,85.0,0.0,0.0,0.0,0.2,125.0,129.0,3.6,0.0,1.0,41.0,473.0,141.0,0.0,0.15,28.8,0.06,ALA,0.0,40.0,0.0
29,245.0,39.9,0.0,8.5,42.5,38.7,3.9,0.0,5.8,3.3,0.63,1.3,0.8,0.0,0.0,0.0,0.0,0.0,0.33,1.2,0.43,0.34,3.8,0.075,59.0,0.0,0.44,0.0,0.4,73.0,125.0,2.8,0.0,1.1,40.0,603.0,166.0,0.82,0.19,30.9,0.05,ALA,0.0,50.0,0.0
30,274.0,31.8,0.0,9.1,55.7,54.4,1.3,0.0,2.2,1.2,0.17,0.11,0.54,0.0,8.3,0.0,50.0,0.0,0.074,0.0,0.11,0.08,2.6,0.05,21.0,0.0,0.0,0.0,0.0,52.7,153.0,1.0,10.0,1.0,18.1,530.0,134.0,0.0,0.0,0.0,0.03,ALA,0.0,15.0,0.0
31,243.0,37.8,0.0,6.7,49.0,46.0,3.0,0.0,5.5,1.0,0.13,0.1,0.47,30.7,0.0,0.0,0.0,0.0,1.2,0.0,0.18,0.11,1.2,0.22,16.0,0.0,0.0,0.0,0.0,26.0,114.0,2.4,9.3,0.9,33.0,464.0,130.0,0.0,0.0,0.0,0.06,ALA,0.0,60.0,0.0
