ref_code,sexo,edad_meses,edad_dias,medida_cm,l,m,s,stdev,sd5neg,sd4neg,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3,sd4,source_file
WFL,M,,,58.5,-0.3521,5.5632,0.08406,,,4.013,4.369,4.725,5.121,5.563,6.059,6.616,7.245,7.873,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,58.6,-0.3521,5.5922,0.08401,,,4.035,4.393,4.75,5.148,5.592,6.09,6.65,7.281,7.913,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,58.7,-0.3521,5.621,0.08397,,,4.056,4.416,4.775,5.175,5.621,6.121,6.683,7.318,7.952,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,58.8,-0.3521,5.6499,0.08392,,,4.078,4.439,4.8,5.201,5.65,6.152,6.717,7.354,7.991,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,58.9,-0.3521,5.6787,0.08388,,,4.1,4.462,4.825,5.228,5.679,6.183,6.751,7.391,8.031,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,59,-0.3521,5.7074,0.08383,,,4.121,4.485,4.849,5.255,5.707,6.214,6.784,7.427,8.069,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,59.1,-0.3521,5.7361,0.08379,,,4.142,4.508,4.874,5.281,5.736,6.245,6.818,7.463,8.109,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,59.2,-0.3521,5.7647,0.08375,,,4.164,4.531,4.899,5.308,5.765,6.276,6.851,7.499,8.148,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,59.3,-0.3521,5.7933,0.0837,,,4.185,4.554,4.924,5.335,5.793,6.307,6.884,7.535,8.186,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,59.4,-0.3521,5.8217,0.08366,,,4.206,4.577,4.948,5.361,5.822,6.338,6.917,7.571,8.225,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,59.5,-0.3521,5.8501,0.08362,,,4.227,4.6,4.973,5.387,5.85,6.368,6.951,7.607,8.264,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,59.6,-0.3521,5.8784,0.08358,,,4.249,4.623,4.997,5.414,5.878,6.399,6.984,7.643,8.302,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,59.7,-0.3521,5.9067,0.08354,,,4.27,4.646,5.022,5.44,5.907,6.429,7.017,7.679,8.341,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,59.8,-0.3521,5.9348,0.0835,,,4.291,4.668,5.046,5.466,5.935,6.46,7.049,7.714,8.379,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,59.9,-0.3521,5.9628,0.08346,,,4.311,4.691,5.07,5.492,5.963,6.49,7.082,7.75,8.417,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,60,-0.3521,5.9907,0.08342,,,4.332,4.713,5.094,5.518,5.991,6.52,7.115,7.785,8.455,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,60.1,-0.3521,6.0185,0.08339,,,4.353,4.735,5.118,5.544,6.018,6.55,7.147,7.82,8.493,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,60.2,-0.3521,6.0461,0.08335,,,4.374,4.758,5.142,5.569,6.046,6.58,7.179,7.855,8.531,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,60.3,-0.3521,6.0737,0.08331,,,4.394,4.78,5.166,5.595,6.074,6.61,7.211,7.89,8.568,wfl-boys-zscore-expanded-table.xlsx
