id,punto_id,sd5neg,sd4neg,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3,sd4,fuente_archivo
146,146,,12.367000,13.507000,14.648000,15.898000,17.269000,18.774000,20.428000,22.247000,24.067000,bfa-boys-zscore-expanded-tables.xlsx
147,147,,12.372000,13.512000,14.652000,15.902000,17.272000,18.777000,20.431000,22.251000,24.071000,bfa-boys-zscore-expanded-tables.xlsx
148,148,,12.377000,13.516000,14.656000,15.905000,17.276000,18.781000,20.435000,22.256000,24.076000,bfa-boys-zscore-expanded-tables.xlsx
149,149,,12.382000,13.521000,14.660000,15.909000,17.279000,18.784000,20.439000,22.259000,24.080000,bfa-boys-zscore-expanded-tables.xlsx
150,150,,12.386000,13.525000,14.664000,15.912000,17.282000,18.787000,20.442000,22.264000,24.085000,bfa-boys-zscore-expanded-tables.xlsx
151,151,,12.391000,13.529000,14.667000,15.916000,17.285000,18.790000,20.445000,22.268000,24.090000,bfa-boys-zscore-expanded-tables.xlsx
152,152,,12.395000,13.533000,14.671000,15.919000,17.288000,18.793000,20.448000,22.271000,24.093000,bfa-boys-zscore-expanded-tables.xlsx
153,153,,12.400000,13.537000,14.675000,15.922000,17.291000,18.796000,20.452000,22.275000,24.098000,bfa-boys-zscore-expanded-tables.xlsx
154,154,,12.404000,13.541000,14.678000,15.925000,17.294000,18.799000,20.455000,22.278000,24.102000,bfa-boys-zscore-expanded-tables.xlsx
155,155,,12.409000,13.545000,14.682000,15.928000,17.297000,18.802000,20.457000,22.281000,24.105000,bfa-boys-zscore-expanded-tables.xlsx
156,156,,12.413000,13.549000,14.685000,15.931000,17.300000,18.804000,20.460000,22.285000,24.109000,bfa-boys-zscore-expanded-tables.xlsx
157,157,,12.417000,13.552000,14.688000,15.934000,17.302000,18.807000,20.463000,22.288000,24.113000,bfa-boys-zscore-expanded-tables.xlsx
158,158,,12.421000,13.556000,14.691000,15.937000,17.305000,18.809000,20.465000,22.291000,24.116000,bfa-boys-zscore-expanded-tables.xlsx
159,159,,12.425000,13.560000,14.694000,15.939000,17.307000,18.811000,20.468000,22.294000,24.119000,bfa-boys-zscore-expanded-tables.xlsx
160,160,,12.429000,13.563000,14.697000,15.942000,17.310000,18.814000,20.470000,22.296000,24.123000,bfa-boys-zscore-expanded-tables.xlsx
161,161,,12.432000,13.566000,14.700000,15.944000,17.312000,18.816000,20.472000,22.299000,24.126000,bfa-boys-zscore-expanded-tables.xlsx
162,162,,12.436000,13.569000,14.703000,15.947000,17.314000,18.818000,20.475000,22.302000,24.129000,bfa-boys-zscore-expanded-tables.xlsx
163,163,,12.440000,13.573000,14.706000,15.949000,17.316000,18.820000,20.477000,22.305000,24.132000,bfa-boys-zscore-expanded-tables.xlsx
