id,id_ingrediente,id_nutriente,valor_por_100g
905,21,25,16.10000000
906,21,26,0.36000000
907,21,27,0.49000000
908,21,28,4.50000000
909,21,29,0.00000000
910,21,30,22.40000000
911,21,31,89.00000000
912,21,32,0.85000000
913,21,33,7.20000000
914,21,34,0.70000000
915,21,35,14.60000000
916,21,36,460.00000000
917,21,37,95.70000000
918,21,38,0.33000000
919,21,39,0.08800000
920,21,40,3.90000000
921,21,41,0.05000000
922,21,42,1.90000000
923,21,43,4.00000000
924,21,44,0.00000000
925,22,1,243.00000000
926,22,2,39.60000000
927,22,3,0.00000000
928,22,4,8.30000000
929,22,5,47.00000000
930,22,6,42.20000000
931,22,7,4.80000000
932,22,8,0.00000000
933,22,9,3.50000000
934,22,10,1.60000000
935,22,11,0.39000000
936,22,12,0.28000000
937,22,13,0.34000000
938,22,14,0.00000000
939,22,15,0.33000000
940,22,16,0.00000000
941,22,17,2.00000000
942,22,18,0.00000000
943,22,19,0.00000000
944,22,20,1.90000000
945,22,21,0.08600000
946,22,22,0.06000000
947,22,23,3.00000000
948,22,24,0.06000000
949,22,25,23.00000000
950,22,26,0.00000000
951,22,27,0.30000000
952,22,28,1.00000000
953,22,29,0.00000000
954,22,30,56.00000000
955,22,31,91.00000000
956,22,32,1.60000000
957,22,33,4.70000000
958,22,34,0.61000000
959,22,35,25.10000000
960,22,36,424.00000000
961,22,37,110.00000000
962,22,38,0.50000000
963,22,39,0.19000000
964,22,40,28.00000000
965,22,41,0.04000000
966,22,42,0.10000000
967,22,43,20.00000000
968,22,44,0.00000000
969,23,1,265.00000000
970,23,2,33.50000000
971,23,3,0.00000000
972,23,4,8.00000000
973,23,5,53.90000000
974,23,6,52.00000000
975,23,7,1.90000000
976,23,8,0.00000000
977,23,9,3.50000000
978,23,10,1.10000000
979,23,11,0.20000000
980,23,12,0.10000000
981,23,13,0.40000000
982,23,14,0.00000000
983,23,15,0.00000000
984,23,16,0.00000000
985,23,17,0.00000000
986,23,18,0.00000000
987,23,19,0.18000000
988,23,20,1.90000000
989,23,21,0.09000000
990,23,22,0.05000000
991,23,23,2.60000000
992,23,24,0.12000000
993,23,25,23.00000000
994,23,26,0.00000000
995,23,27,0.30000000
996,23,28,0.00000000
997,23,29,0.00000000
998,23,30,20.00000000
999,23,31,90.00000000
1000,23,32,1.70000000
1001,23,33,5.00000000
1002,23,34,0.60000000
1003,23,35,26.00000000
1004,23,36,2.00000000
1005,23,37,100.00000000
1006,23,38,0.38000000
1007,23,39,0.13000000
1008,23,40,22.60000000
1009,23,41,0.04000000
1010,23,42,0.10000000
1011,23,43,20.00000000
1012,23,44,0.00000000
1013,24,1,273.00000000
1014,24,2,31.50000000
1015,24,3,0.00000000
1016,24,4,8.00000000
1017,24,5,55.90000000
1018,24,6,53.60000000
1019,24,7,2.30000000
1020,24,8,0.00000000
1021,24,9,3.50000000
1022,24,10,1.20000000
1023,24,11,0.20000000
1024,24,12,0.10000000
1025,24,13,0.40000000
